ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Variable Output Compressor,Registration Number
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,RINV70R-A,RINV70,,RINNAI,1.15,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.05,5.85,7,235,0,,,322,1.9,6.4,Calorimeter Room,3.2719,3.4364,TRUE,,,0.08,0.08,0,0,,,,3.271470353,3.435960327,,,2.0429,2.3719,2,2,Calorimeter Room,Single,R410A,Australia,85404,2019/11/8,,Approved,Reverse Cycle,1185,Class 4,FALSE,,FALSE,,,,,3.2719,Available,,,TRUE,AAC1278
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,RINV70RB,RINV70,,RINNAI,1.15,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.05,5.85,7,235,0,,,322,1.9,6.4,Calorimeter Room,3.2719,3.4364,TRUE,,,0.08,0.08,0,0,,,,3.271470353,3.435960327,,,2.0429,2.3719,2,2,Calorimeter Room,Single,R410A,Australia,85404,2019/11/8,,Approved,Reverse Cycle,1185,Class 4,FALSE,,FALSE,,,,,3.2719,Available,,,TRUE,AAC1278
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,RINV25RB,,,RINNAI,0.34,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.68,2.26,2.6,205,0,,,286,0.69,2.8,Calorimeter Room,3.9617,4.0835,TRUE,,,4.31,4.31,0,0,,,,3.875074674,3.996687126,,,3.2501,3.4934,3,3,Calorimeter Room,Single,R410A,Australia,85405,2019/11/6,,Approved,Reverse Cycle,880,Class 3,FALSE,,FALSE,,,,,3.9617,Available,,,TRUE,AAC1271
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-P200YLM-A,,,MITSUBISHI ELECTRIC,1.12,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",5.95,21.28,22.4,,0,,,,6.54,25,Enthalpy Test Room,4.283,3.882,TRUE,,,50,50,0,0,,,,4.148916466,3.782720533,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85406,2019/11/4,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,4.283,Available,,,TRUE,AAC1266
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-P250YLM-A,,,MITSUBISHI ELECTRIC,1.4,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",7.93,26.6,28,,0,,,,8.65,31.5,Enthalpy Test Room,3.8621,3.9179,TRUE,,,50,50,0,0,,,,3.774093544,3.837251797,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85407,2019/10/31,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.8621,Available,,,TRUE,AAC1258
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-P300YLM-A,,,MITSUBISHI ELECTRIC,1.67,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",9.82,31.83,33.5,,0,,,,10.77,37.5,Enthalpy Test Room,3.5805,3.7388,TRUE,,,54,54,0,0,,,,3.512593375,3.671963433,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85409,2019/10/30,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.5805,Available,,,TRUE,AAC1254
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-P350YLM-A,,,MITSUBISHI ELECTRIC,2,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",12.69,38,40,,0,,,,12.97,45,Enthalpy Test Room,3.3061,3.4722,TRUE,,,54,54,0,0,,,,3.257585751,3.424000877,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85410,2019/11/5,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.3061,Available,,,TRUE,AAC1270
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-EP200YLM-A,,,MITSUBISHI ELECTRIC,1.12,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",5.48,21.28,22.4,,0,,,,6.41,25,Enthalpy Test Room,4.159,3.913,TRUE,,,50,50,0,0,,,,4.032980821,3.812982297,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85414,2019/10/31,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,4.159,Available,,,TRUE,AAC1262
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-EP250YLM-A,,,MITSUBISHI ELECTRIC,1.4,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",7.25,26.6,28,,0,,,,8.45,31.5,Enthalpy Test Room,3.8866,3.7308,TRUE,,,50,50,0,0,,,,3.797810515,3.657830767,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85416,2019/10/31,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.8866,Available,,,TRUE,AAC1263
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-EP300YLM-A,,,MITSUBISHI ELECTRIC,1.67,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",9.2,31.83,33.5,,0,,,,9.97,37.5,Enthalpy Test Room,3.6482,3.9413,TRUE,,,54,54,0,0,,,,3.577314714,3.867310121,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85417,2019/11/4,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.6482,Available,,,TRUE,AAC1267
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-EP350YLM-A,,,MITSUBISHI ELECTRIC,2,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",12.57,38,40,,0,,,,12.93,45,Enthalpy Test Room,3.1825,3.6199,TRUE,,,54,54,0,0,,,,3.137096598,3.568507571,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85418,2019/10/31,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.1825,Available,,,TRUE,AAC1259
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-EP400YLM-A,,,MITSUBISHI ELECTRIC,1.77,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",12.56,43.23,45,,0,,,,13.4,50,Enthalpy Test Room,3.5822,3.7895,TRUE,,,54,54,0,0,,,,3.531018155,3.738173576,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85419,2019/10/31,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.5822,Available,,,TRUE,AAC1257
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PURY-EP450YLM-A,,,MITSUBISHI ELECTRIC,2.5,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",14.83,47.5,50,,0,,,,15.86,56,Enthalpy Test Room,3.3942,3.6013,TRUE,,,54,54,0,0,,,,3.352809013,3.559506042,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",85421,2019/10/31,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.3942,Available,,,TRUE,AAC1261
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AK-9000-RC,,,AKAI,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.68,2.1,2.6,,0,,,,0.7,2.6,Calorimeter Room,3.7995,3.7337,TRUE,,,0.017,0.017,0,0,,,,3.799185912,3.733428809,,,3.0984,2.9669,3,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",85451,2019/10/31,,Approved,Reverse Cycle,,Class 3,FALSE,,FALSE,,,,,3.7995,Available,,,TRUE,AAC1260
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,BK8000,,,BEKO,2.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.46,5.9,8,253,0,,,328,2.47,8,Calorimeter Room,3.269,3.1195,TRUE,,,4.95,5.04,0,3.588427274,,,,3.246426101,3.098368772,,,1.9929,1.6967,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85454,2019/11/19,,Approved,Reverse Cycle,1178,Class 4,FALSE,,FALSE,,,,,3.269,Available,,,TRUE,AAC1297
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AK-12000-RC,,,AKAI,0.3,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.91,3.2,3.5,,0,,,,0.96,3.7,Calorimeter Room,3.8676,3.8435,TRUE,,,0.017,0.017,0,0,,,,3.867371751,3.843297003,,,3.2347,3.1866,3,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",85479,2019/10/31,,Approved,Reverse Cycle,,Class 3,FALSE,,FALSE,,,,,3.8676,Available,,,TRUE,AAC1264
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AK-18000-RC,,,AKAI,1.2,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.5,3.9,5.1,,0,,,,1.48,5.2,Calorimeter Room,3.2658,3.4748,TRUE,,,0.009,0.009,0,0,,,,3.265710912,3.474712209,,,2.0314,2.4494,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",85480,2019/11/10,,Approved,Reverse Cycle,,Class 4,FALSE,,FALSE,,,,,3.2658,Available,,,TRUE,AAC1281
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,IWR-35G,,,Domain,0.3,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.91,3.2,3.5,,0,,,,0.96,3.7,Calorimeter Room,3.8676,3.8546,TRUE,,,1,1,0,0,,,,3.853365018,3.840915768,,,3.2067,3.1818,3,3,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85523,2019/12/9,,Approved,Reverse Cycle,,Class 3,FALSE,,FALSE,,,,,3.8676,Available,,,TRUE,AAC1333
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,RINV52RB,,,RINNAI,1.3,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.52,4,5.3,222,0,,,300,1.5,5.3,Calorimeter Room,3.3728,3.3589,TRUE,,,5.18,5.18,0,0,,,,3.33420856,3.320886659,,,2.1684,2.1418,2,2,Calorimeter Room,Single,R410A,Australia,85531,2019/11/8,,Approved,Reverse Cycle,940,Class 4,FALSE,,FALSE,,,,,3.3728,Available,,,TRUE,AAC1277
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,RINV35RB,,,RINNAI,0.72,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.95,2.88,3.6,205,0,,,286,0.98,3.7,Calorimeter Room,3.6949,3.5887,TRUE,83.8944,,4.72,4.74,3.874651932,4.906765017,,,,3.634078692,3.532292189,,,2.7682,2.5646,2.5,2.5,Calorimeter Room,Single,R410A,Australia,85532,2019/11/10,,Approved,Reverse Cycle,880,Class 3,FALSE,,FALSE,,,,,3.6949,Available,,,TRUE,AAC1282
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FAQ100CV / RZQS100AV,,,DAIKIN,3.9,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,3.19,6.1,10,,0,,,,3.44,11.2,Enthalpy Test Room,3.1322,3.2866,TRUE,85.14,,29.8,37.2,3.970172684,0,,,,3.036391753,3.17005272,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",85586,2020/6/9,,Approved,Reverse Cycle,,Class 5,FALSE,,FALSE,FALSE,FALSE,FALSE,,3.1322,Available,,,TRUE,AAC1581
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQ180L / RZQS180AY,,,DAIKIN,3,Ducted,Single Split System,,Air,Air,Thailand,5.64,15,18,,0,,,,5.84,20,Enthalpy Test Room,3.2401,3.5065,TRUE,,,33,33,0,0,,,,3.173339441,3.443753471,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",85588,2020/5/20,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,,,,,3.2401,Available,,,TRUE,AAC1548
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT100L / RZQS100AV,,,DAIKIN,1,Ducted,Single Split System,,Air,Air,Thailand,2.62,9,10,,0,,,,3.02,12.5,Enthalpy Test Room,4.2079,4.5373,TRUE,,,31.4,38.8,0,0,,,,4.040922093,4.332545118,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",85592,2020/5/20,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,,,,KRP58M51,4.2079,Available,,,TRUE,AAC1547
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FBQ125DB / RZQS125AY,,,DAIKIN,4.25,Ducted,Single Split System,,Air,Air,Thailand,3.23,7.75,12,,0,,,,3.4,14,Enthalpy Test Room,3.9171,4.124,TRUE,,,29.8,37.2,0,0,,,,3.792497388,3.976725321,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",85595,2020/3/24,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,,,,KRP58M51,3.9171,Available,,,TRUE,AAC1460
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42TSV052P1 / 38TSV052P1,,,Carrier,1.08,Non Ducted,Single Split System,Cassette,Air,Air,China,1.51,4.12,5.2,,0,,,,1.58,5.6,Calorimeter Room,3.5401,3.5537,TRUE,53.6,,10,11.8,5.12754159,4.392070485,,,,3.462535649,3.466380604,,,2.4251,2.4328,2,2,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85618,2019/11/11,,Approved,Reverse Cycle,,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.5401,Available,,,TRUE,AAC1288
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42TSV067P1/38TSV067P1,,,Carrier,0.52,Non Ducted,Single Split System,Cassette,Air,Air,China,2.01,6.18,6.7,,0,,,,2.24,8,Calorimeter Room,3.3838,3.6492,TRUE,52,,10,11.8,4.512953368,5.067193676,,,,3.327599764,3.585130227,,,2.1552,2.6703,2,2.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85622,2019/11/13,,Approved,Reverse Cycle,,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.3838,Available,,,TRUE,AAC1291
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42TSV080P1/38TSV080P1,,,Carrier,1.26,Non Ducted,Single Split System,Cassette,Air,Air,China,2.32,6.34,7.6,,0,,,,2.8,9.2,Calorimeter Room,3.358,3.4171,TRUE,52.9,,10,11.8,4.368653422,4.362085308,,,,3.30955229,3.369004873,,,2.1191,2.238,2,2,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85623,2019/11/13,,Approved,Reverse Cycle,,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.358,Available,,,TRUE,AAC1290
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42TSV110P1/38TSV110P1,,,Carrier,2.24,Non Ducted,Single Split System,Cassette,Air,Air,China,3.35,8.26,10.5,,0,,,,3.81,12.3,Calorimeter Room,3.19,3.2425,TRUE,52.7,,10,11.8,4.248764415,4.553206997,,,,3.157879076,3.208873599,,,1.8158,1.9177,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85625,2019/11/19,,Approved,Reverse Cycle,,Class 5,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.19,Available,,,TRUE,AAC1296
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42TSV130P1/38TSV130P1,,,Carrier,3.23,Non Ducted,Single Split System,Cassette,Air,Air,China,3.95,9.27,12.5,,0,,,,4.05,13,Calorimeter Room,3.2197,3.2714,TRUE,52.2,,10,11.8,3.759621078,4.417910448,,,,3.192088961,3.239324578,,,1.8842,1.9786,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",85626,2019/11/14,,Approved,Reverse Cycle,,Class 5,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.2197,Available,,,TRUE,AAC1292
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,42SHV052P1/38SHV052P1,,,Carrier,0.7,Ducted,Single Split System,,Air,Air,China,1.45,4.3,5,,0,,,,1.65,5.7,Enthalpy Test Room,3.6504,3.5358,TRUE,55,,9,10.8,4.708260105,4.513846154,,,,3.574692107,3.458512229,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",85653,2019/11/19,,Approved,Reverse Cycle,,Class 6,FALSE,,FALSE,,,,,3.6504,Available,,,TRUE,AAC1298
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT180L / RZYQ7P,,,DAIKIN,2.8,Ducted,Single Split System,Under ceiling,Air,Air,Thailand,5.638,15.2,18,,0,,,,5.836,20,Enthalpy Test Room,3.2061,3.471,TRUE,84.1,,34.6,34.6,0,0,,,,3.140949319,3.402751503,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",85674,2020/6/9,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,FALSE,FALSE,FALSE,KRP58M51,3.2061,Available,,,TRUE,AAC1580
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FHQ100BW / RZQS100AV,,,DAIKIN,2.8,Non Ducted,Single Split System,Under ceiling,Air,Air,Thailand,2.85,6.4,9.2,,0,0,0,,3.26,10.5,Enthalpy Test Room,3.1857,3.4167,TRUE,93,,29.8,37.2,5.295480881,4.247302905,,,,3.075094356,3.278698001,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",85675,2020/9/15,,Approved,Reverse Cycle,,Class 4,FALSE,,FALSE,,,,,3.1857,Available,,,TRUE,AAC1792
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT100L / RZQS100AY,,,DAIKIN,1,Ducted,Single Split System,Under ceiling,Air,Air,Thailand,2.62,9,10,,0,,,,3.02,12.5,Enthalpy Test Room,4.2191,4.7838,TRUE,84.15,,31.4,38.8,0,0,,,,4.039818552,4.559062521,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",85677,2020/6/1,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,TRUE,TRUE,TRUE,KRP58M51,4.2191,Available,,,TRUE,AAC1570
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT200L / RZYQ8P,,,DAIKIN,3.6,Ducted,Single Split System,Under ceiling,Air,Air,Thailand,6.081,16.4,20,,0,,,,6.166,22.4,Enthalpy Test Room,3.3169,3.6445,TRUE,84.15,,34.6,34.6,0,0,,,,3.254302876,3.576664967,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",85678,2020/6/1,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,TRUE,TRUE,TRUE,KRP58M51,3.3169,Available,,,TRUE,AAC1569
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT250L / RZQ10P,,,DAIKIN,6.2,Ducted,Single Split System,Under ceiling,Air,Air,Thailand,7.47,17.8,24,,0,,,,8.139,26.8,Enthalpy Test Room,3.2168,3.3002,TRUE,85.477,,67.6,67.6,0,0,,,,3.121226838,3.210043444,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",85680,2020/6/1,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,TRUE,FALSE,FALSE,KRP58M51,3.2168,Available,,,TRUE,AAC1568
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT125L / RZQS125AV,,,DAIKIN,1.2,Ducted,Single Split System,Under ceiling,Air,Air,Thailand,3.68,11.3,12.5,,0,,,,3.79,15,Enthalpy Test Room,3.4472,4.0236,TRUE,85.477,,31.4,38.8,0,0,,,,3.349507977,3.891447079,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",85681,2020/6/1,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,TRUE,FALSE,FALSE,KRP58M51,3.4472,Available,,,TRUE,AAC1567
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SACC18C-S/SCCF18C1S,,,Braemar,3.1,Ducted,Single Split System,,Air,,Thailand,4.9,13.5,16.6,,0,,,,,,Enthalpy Test Room,3.3843,0,FALSE,,,1,,0,0,,,,3.381971241,0,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",85682,2019/11/20,,Approved,Cooling Only,,Class 7,FALSE,,FALSE,,,,,3.3843,Available,,,FALSE,AAC1306
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,BD15A/SCHF13C1S,SDHF15C1S/SCHF13C1S,,Braemar,1.7,Ducted,Single Split System,,Air,Air,Thailand,4.26,11.7,13.4,660,0,,,360,3.75,13.4,Enthalpy Test Room,3.1224,3.5919,FALSE,,,3,3,0,0,,,,3.114985708,3.582127144,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",85684,2019/11/19,,Approved,Reverse Cycle,1400,Class 7,FALSE,,FALSE,TRUE,FALSE,FALSE,04-0120-0121525 DR +  04-0140-0105902 R1,3.1224,Available,,,FALSE,AAC1305
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SDHF15C1S/BC13A,SDHF15C1S/SCHF13C1S,,Braemar,1.7,Ducted,Single Split System,,Air,Air,Thailand,4.26,11.7,13.4,660,0,,,360,3.75,13.4,Enthalpy Test Room,3.1224,3.5919,FALSE,,,3,3,0,0,,,,3.114985708,3.582127144,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",85684,2019/11/19,,Approved,Reverse Cycle,1400,Class 7,FALSE,,FALSE,TRUE,FALSE,FALSE,04-0120-0121525 DR +  04-0140-0105902 R1,3.1224,Available,,,FALSE,AAC1305
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SDHF15C1S/SCHF13C1S,SDHF15C1S/SCHF13C1S,,Braemar,1.7,Ducted,Single Split System,,Air,Air,Thailand,4.26,11.7,13.4,660,0,,,360,3.75,13.4,Enthalpy Test Room,3.1224,3.5919,FALSE,,,3,3,0,0,,,,3.114985708,3.582127144,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",85684,2019/11/19,,Approved,Reverse Cycle,1400,Class 7,FALSE,,FALSE,TRUE,FALSE,FALSE,04-0120-0121525 DR +  04-0140-0105902 R1,3.1224,Available,,,FALSE,AAC1305
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,BD15A/SCHF15C3S,SDHF15C1S/SCHF15C3S,,Braemar,2.5,Ducted,Single Split System,,Air,Air,Thailand,4.82,12.5,15,660,0,,,360,4,14.6,Enthalpy Test Room,3.1123,3.6481,FALSE,,,3,3,0,0,,,,3.105750869,3.638914267,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",85686,2019/11/11,,Approved,Reverse Cycle,1400,Class 7,FALSE,,FALSE,TRUE,FALSE,FALSE,04-0120-0121525 DR +  04-0140-0105902 R1,3.1123,Available,,,FALSE,AAC1287
