,ApplStandard,N-Standard,Model_No,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration3_Sink,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,H2_COP,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,AnnualOutputEER,AnnualOutputCOP,outdoortype,Phase,Refrigerant,Type,Demand Response 1,EER,Registration Number
195,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.3:2005,HWP225RKT,TEMPERZONE,4.18,Ducted,Packaged,Cooling Tower,"Australia,New Zealand",6.31,18.04,22.22,0.0,5.79,22.3,Enthalpy Test Room,3.5214,3.8515,False,3.0,3.0,0.0,0.0,3.51574490439,3.84473478226,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.5214,AAC0823
196,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FDT60VF / SRC60ZMXA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.24,Non Ducted,Single Split System,Air,Thailand,1.52,5.36,5.6,3.71178120617,1.7,6.7,Calorimeter Room,4.0771,4.021,True,10.02,10.02,5.14132379249,5.10751104566,3.97996266506,3.94099928849,Calorimeter Room,Single,R410A,Reverse Cycle,True,4.0771,AAC0771
197,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.3:2005,HWP291RKTF,TEMPERZONE,5.24,Ducted,Packaged,Cooling Tower,"Australia,New Zealand",6.88,21.94,27.18,0.0,6.46,27.66,Enthalpy Test Room,3.9483,4.2806,True,8.0,8.0,0.0,0.0,3.93283789415,4.2627260735,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.9483,AAC0824
198,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2001/Amdt 5:2010,FDUM50ZMXAVF,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.17,Ducted,Single Split System,Air,Thailand,1.56,3.83,5.0,2.63161209068,1.7,5.4,Enthalpy Test Room,3.2195,3.1725,True,11.0,11.0,4.37181663837,4.49762282092,3.14534025961,3.1021702082,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.2195,AAC0815
199,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.3:2005,HWP47CEKSY,TEMPERZONE,0.73,Ducted,Packaged,Cooling Tower,"New Zealand,Australia",1.22,3.68,4.41,0.0,,,Enthalpy Test Room,3.6148,,False,3.0,,0.0,0.0,3.58495780968,,Enthalpy Test Room,Single,R410A,Cooling Only,False,3.6148,AAC0769
200,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-4LE1R5,PANASONIC,3.5,Non Ducted,Multiple split - VRF,Air,China,3.22,8.6,12.1,0.0,2.97,12.5,Enthalpy Test Room,3.8539,4.0197,True,39.1,36.0,0.0,0.0,3.69533503645,3.86545931494,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.8539,AAC0809
201,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-4LE1R5E,PANASONIC,3.5,Non Ducted,Multiple split - VRF,Air,China,3.22,8.6,12.1,0.0,2.97,12.5,Enthalpy Test Room,3.8539,4.0197,True,39.1,36.0,0.0,0.0,3.69533503645,3.86545931494,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.8539,AAC0809
202,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM20S2A1/UHXM55MA1,LG,0.25,Non Ducted,Multiple split - Fixed head,Air,South Korea,1.29,5.02,5.27,0.0,1.6,6.33,Enthalpy Test Room,4.5672,4.1514,True,7.1,6.9,0.0,0.0,4.47466972073,4.09312583593,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.5672,AAC0878
203,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-5LE1R5,PANASONIC,3.3,Non Ducted,Multiple split - VRF,Air,China,3.8,10.7,14.0,0.0,4.09,16.0,Enthalpy Test Room,3.557,3.7245,True,39.1,36.0,0.0,0.0,3.43924263519,3.61984264766,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.557,AAC0812
204,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-5LE1R5E,PANASONIC,3.3,Non Ducted,Multiple split - VRF,Air,China,3.8,10.7,14.0,0.0,4.09,16.0,Enthalpy Test Room,3.557,3.7245,True,39.1,36.0,0.0,0.0,3.43924263519,3.61984264766,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.557,AAC0812
205,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-6LE1R5,PANASONIC,4.3,Non Ducted,Multiple split - VRF,Air,China,4.54,11.2,15.5,0.0,5.02,18.0,Enthalpy Test Room,3.235,3.374,True,39.1,36.0,0.0,0.0,3.1461976103,3.29629966223,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.235,AAC0808
206,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-6LE1R5E,PANASONIC,4.3,Non Ducted,Multiple split - VRF,Air,China,4.54,11.2,15.5,0.0,5.02,18.0,Enthalpy Test Room,3.235,3.374,True,39.1,36.0,0.0,0.0,3.1461976103,3.29629966223,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.235,AAC0808
207,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-4LE1R8,PANASONIC,3.5,Non Ducted,Multiple split - VRF,Air,China,3.22,8.6,12.1,0.0,2.97,12.5,Enthalpy Test Room,3.7492,3.9377,True,39.1,36.0,0.0,0.0,3.5982423759,3.78663673511,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.7492,AAC0811
208,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-4LE1R8E,PANASONIC,3.5,Non Ducted,Multiple split - VRF,Air,China,3.22,8.6,12.1,0.0,2.97,12.5,Enthalpy Test Room,3.7492,3.9377,True,39.1,36.0,0.0,0.0,3.5982423759,3.78663673511,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.7492,AAC0811
209,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-5LE1R8,PANASONIC,3.1,Non Ducted,Multiple split - VRF,Air,China,3.8,10.9,14.0,0.0,4.09,16.0,Enthalpy Test Room,3.5431,3.7292,True,39.1,36.0,0.0,0.0,3.42490127855,3.62445979389,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.5431,AAC0810
210,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-5LE1R8E,PANASONIC,3.1,Non Ducted,Multiple split - VRF,Air,China,3.8,10.9,14.0,0.0,4.09,16.0,Enthalpy Test Room,3.5431,3.7292,True,39.1,36.0,0.0,0.0,3.42490127855,3.62445979389,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.5431,AAC0810
211,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-6LE1R8,PANASONIC,4.2,Non Ducted,Multiple split - VRF,Air,China,4.54,11.3,15.5,0.0,5.02,18.0,Enthalpy Test Room,3.2516,3.3953,True,39.1,36.0,0.0,0.0,3.16100813174,3.31633433238,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2516,AAC0807
212,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-6LE1R8E,PANASONIC,4.2,Non Ducted,Multiple split - VRF,Air,China,4.54,11.3,15.5,0.0,5.02,18.0,Enthalpy Test Room,3.2516,3.3953,True,39.1,36.0,0.0,0.0,3.16100813174,3.31633433238,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2516,AAC0807
213,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-8ME1R8B,PANASONIC,1.4,Ducted,Multiple split - VRF,Air,Malaysia,5.77,21.0,22.4,0.0,5.0,25.0,Enthalpy Test Room,3.6003,4.5624,True,75.8,72.5,0.0,0.0,3.45242073543,4.35743027103,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.6003,AAC0837
214,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-8ME1R8BE,PANASONIC,1.4,Ducted,Multiple split - VRF,Air,Malaysia,5.77,21.0,22.4,0.0,5.0,25.0,Enthalpy Test Room,3.6003,4.5624,True,75.8,72.5,0.0,0.0,3.45242073543,4.35743027103,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.6003,AAC0837
215,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-10ME1R8B,PANASONIC,2.2,Ducted,Multiple split - VRF,Air,Malaysia,8.39,25.8,28.0,0.0,7.12,31.5,Enthalpy Test Room,3.0967,4.0566,True,75.8,72.5,3.83378746594,0.0,3.00797969731,3.92691502339,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.0967,AAC0877
216,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U--10ME1R8BE,PANASONIC,2.2,Ducted,Multiple split - VRF,Air,Malaysia,8.39,25.8,28.0,0.0,7.12,31.5,Enthalpy Test Room,3.0967,4.0566,True,75.8,72.5,3.83378746594,0.0,3.00797969731,3.92691502339,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.0967,AAC0877
217,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-12ME1R8B,PANASONIC,4.0,Ducted,Multiple split - VRF,Air,Malaysia,9.74,28.8,32.8,0.0,8.82,37.5,Enthalpy Test Room,3.1117,3.8751,True,104.2,97.3,3.63471643414,0.0,3.00701018201,3.74153175731,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1117,AAC0876
218,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-12ME1R8BE,PANASONIC,4.0,Ducted,Multiple split - VRF,Air,Malaysia,9.74,28.8,32.8,0.0,8.82,37.5,Enthalpy Test Room,3.1117,3.8751,True,104.2,97.3,3.63471643414,0.0,3.00701018201,3.74153175731,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1117,AAC0876
219,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-14ME1R8B,PANASONIC,4.9,Ducted,Multiple split - VRF,Air,Malaysia,12.3,35.1,40.0,0.0,10.8,45.0,Enthalpy Test Room,2.9728,3.8021,True,104.2,97.3,4.34806034483,0.0,2.89353866685,3.69432412146,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,2.9728,AAC0836
220,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U--14ME1R8BE,PANASONIC,4.9,Ducted,Multiple split - VRF,Air,Malaysia,12.3,35.1,40.0,0.0,10.8,45.0,Enthalpy Test Room,2.9728,3.8021,True,104.2,97.3,4.34806034483,0.0,2.89353866685,3.69432412146,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,2.9728,AAC0836
221,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-16ME1R8B,PANASONIC,5.4,Ducted,Multiple split - VRF,Air,Malaysia,13.6,37.1,42.5,0.0,12.2,49.7,Enthalpy Test Room,2.8381,3.698,True,104.2,97.3,4.08752399232,0.0,2.76969341678,3.60526368345,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,2.8381,AAC0875
222,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-16ME1R8BE,PANASONIC,5.4,Ducted,Multiple split - VRF,Air,Malaysia,13.6,37.1,42.5,0.0,12.2,49.7,Enthalpy Test Room,2.8381,3.698,True,104.2,97.3,4.08752399232,0.0,2.76969341678,3.60526368345,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,2.8381,AAC0875
223,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-18ME1R8B,PANASONIC,8.7,Ducted,Multiple split - VRF,Air,Malaysia,14.4,41.3,50.0,0.0,11.9,56.0,Enthalpy Test Room,3.2025,4.3086,True,132.6,122.0,0.0,0.0,3.10938573699,4.16967627553,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2025,AAC0835
224,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-18ME1R8BE,PANASONIC,8.7,Ducted,Multiple split - VRF,Air,Malaysia,14.4,41.3,50.0,0.0,11.9,56.0,Enthalpy Test Room,3.2025,4.3086,True,132.6,122.0,0.0,0.0,3.10938573699,4.16967627553,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2025,AAC0835
225,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-20ME1R8B,PANASONIC,9.9,Ducted,Multiple split - VRF,Air,Malaysia,17.0,46.1,56.0,0.0,15.7,63.0,Enthalpy Test Room,3.0452,3.6726,True,132.6,122.0,0.0,0.0,2.96997693485,3.58203028759,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.0452,AAC0874
226,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U--20ME1R8BE,PANASONIC,9.9,Ducted,Multiple split - VRF,Air,Malaysia,17.0,46.1,56.0,0.0,15.7,63.0,Enthalpy Test Room,3.0452,3.6726,True,132.6,122.0,0.0,0.0,2.96997693485,3.58203028759,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.0452,AAC0874
227,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-8MF2R7B,PANASONIC,0.9,Ducted,Multiple split - VRF,Air,Malaysia,5.68,21.5,22.4,0.0,5.57,25.0,Enthalpy Test Room,3.6553,4.1088,True,75.8,72.5,0.0,0.0,3.50297516971,3.94197231175,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.6553,AAC0833
228,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U--8MF2R7BE,PANASONIC,0.9,Ducted,Multiple split - VRF,Air,Malaysia,5.68,21.5,22.4,0.0,5.57,25.0,Enthalpy Test Room,3.6553,4.1088,True,75.8,72.5,0.0,0.0,3.50297516971,3.94197231175,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.6553,AAC0833
229,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-10MF2R7B,PANASONIC,2.2,Ducted,Multiple split - VRF,Air,Malaysia,8.06,25.8,28.0,0.0,8.12,31.5,Enthalpy Test Room,3.1857,3.5515,True,75.8,72.5,3.82113821138,0.0,3.09142437031,3.45138900869,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1857,AAC0832
230,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-10MF2R7BE,PANASONIC,2.2,Ducted,Multiple split - VRF,Air,Malaysia,8.06,25.8,28.0,0.0,8.12,31.5,Enthalpy Test Room,3.1857,3.5515,True,75.8,72.5,3.82113821138,0.0,3.09142437031,3.45138900869,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1857,AAC0832
231,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-12MF2R8B,PANASONIC,3.5,Ducted,Multiple split - VRF,Air,Malaysia,9.53,30.0,33.5,0.0,9.2,37.5,Enthalpy Test Room,3.2036,3.7349,True,104.2,97.3,4.88985507246,0.0,3.09430280146,3.61090473045,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2036,AAC0831
232,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U--12MF2R8BE,PANASONIC,3.5,Ducted,Multiple split - VRF,Air,Malaysia,9.53,30.0,33.5,0.0,9.2,37.5,Enthalpy Test Room,3.2036,3.7349,True,104.2,97.3,4.88985507246,0.0,3.09430280146,3.61090473045,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2036,AAC0831
233,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-14MF2R8B,PANASONIC,5.0,Ducted,Multiple split - VRF,Air,Malaysia,12.5,34.2,39.2,0.0,11.7,45.0,Enthalpy Test Room,2.9022,3.525,True,104.2,97.3,4.69038901602,0.0,2.82549101438,3.43241732443,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,2.9022,AAC0830
234,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,U-14MF2R8BE,PANASONIC,5.0,Ducted,Multiple split - VRF,Air,Malaysia,12.5,34.2,39.2,0.0,11.7,45.0,Enthalpy Test Room,2.9022,3.525,True,104.2,97.3,4.69038901602,0.0,2.82549101438,3.43241732443,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,2.9022,AAC0830
235,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAM-90QHA2,HITACHI,0.93,Non Ducted,Multiple split - Fixed head,Air,Malaysia,2.56,7.57,8.5,0.0,2.74,10.0,Calorimeter Room,3.3199,3.5405,True,21.0,21.0,0.0,0.0,3.2290148729,3.45521693969,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.3199,AAC0825
236,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAM-110QHA2,HITACHI,1.25,Non Ducted,Multiple split - Fixed head,Air,Malaysia,3.0,9.35,10.6,0.0,3.7,13.6,Calorimeter Room,3.623,3.9539,True,26.0,26.0,0.0,0.0,3.51623807799,3.85244083272,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.623,AAC0829
237,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,RPI-7.0FSN2SQ/RAS-7HVRNM2,HITACHI,1.6,Ducted,Single Split System,Air,"Japan,China",4.76,14.4,16.0,0.0,4.28,18.0,Enthalpy Test Room,3.5161,3.9082,True,68.0,68.0,0.0,0.0,3.34534867014,3.71481360254,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.5161,AAC0840
238,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-8FSXN1,HITACHI,4.4,Non Ducted,Multiple split - VRF,Air,Japan,5.6,18.0,22.4,0.0,6.19,25.0,Enthalpy Test Room,3.823,4.0498,True,93.0,105.0,0.0,0.0,3.6289580488,3.83085334836,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.823,AAC0828
239,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-10FSXN1,HITACHI,5.6,Non Ducted,Multiple split - VRF,Air,Japan,8.02,22.4,28.0,0.0,8.77,31.5,Enthalpy Test Room,3.4086,3.7569,True,93.0,105.0,0.0,0.0,3.28327681791,3.60480899748,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.4086,AAC0839
240,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM20S2A1/UHXM70MA1,LG,0.47,Non Ducted,Multiple split - Fixed head,Air,South Korea,1.67,6.56,7.03,0.0,1.9,8.44,Enthalpy Test Room,4.5858,4.5927,True,8.3,8.2,0.0,0.0,4.51091758466,4.52735409064,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.5858,AAC0891
241,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM20S2A1/UHXM90MA1,LG,0.6,Non Ducted,Multiple split - Fixed head,Air,South Korea,2.2,8.19,8.79,0.0,2.2,10.1,Enthalpy Test Room,4.2581,4.5782,True,8.7,8.5,0.0,0.0,4.2038548916,4.52098375353,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.2581,AAC0890
242,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM30S2A1/UHXM110MA1,LG,0.7,Non Ducted,Multiple split - Fixed head,Air,South Korea,2.73,10.5,11.2,0.0,2.81,12.5,Enthalpy Test Room,4.3763,4.4163,True,24.5,24.3,0.0,0.0,4.25131301706,4.29286070683,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.3763,AAC0846
243,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM30S2A1/UHXM120BA1,LG,0.2,Non Ducted,Multiple split - Fixed head,Air,South Korea,2.73,11.0,11.2,0.0,2.81,12.5,Enthalpy Test Room,4.2655,4.4162,True,28.2,28.0,0.0,0.0,4.12554090502,4.27457277988,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.2655,AAC0889
244,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM20S2A1/NHXM30S2A1/UHXM140BA1,LG,0.33,Non Ducted,Multiple split - Fixed head,Air,South Korea,3.17,13.67,14.0,0.0,3.66,16.0,Enthalpy Test Room,4.8694,4.7672,True,28.4,28.2,0.0,0.0,4.71925401671,4.64247405386,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.8694,AAC0845
245,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,NHXM30S2A1/UHXM160BA1,LG,0.34,Non Ducted,Multiple split - Fixed head,Air,South Korea,3.86,15.16,15.5,0.0,4.16,17.4,Enthalpy Test Room,4.3637,4.6841,True,28.4,28.2,0.0,0.0,4.25330364429,4.57149657264,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.3637,AAC0888
246,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-14FSXN1,HITACHI,8.0,Non Ducted,Multiple split - VRF,Air,Japan,12.11,32.0,40.0,0.0,12.44,45.0,Enthalpy Test Room,3.2075,3.526,True,180.0,192.0,0.0,0.0,3.05830734422,3.35602274686,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.2075,AAC0827
247,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-16FSXN1,HITACHI,9.0,Non Ducted,Multiple split - VRF,Air,Japan,13.87,36.0,45.0,0.0,16.03,50.0,Enthalpy Test Room,3.1549,3.0222,True,180.0,192.0,0.0,0.0,3.02591627257,2.90906614903,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1549,AAC0838
248,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-12FSXN1,HITACHI,6.36,Non Ducted,Multiple split - VRF,Air,Japan,10.46,27.14,33.5,0.0,10.14,37.5,Enthalpy Test Room,3.1208,3.5471,True,101.0,113.0,4.76350198977,0.0,3.02173747349,3.42373979832,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1208,AAC0879
249,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,ARNU12GBGA2/ARUN160LTE4,LG,3.1,Ducted,Multiple split - VRF,Air,South Korea,12.4,41.7,44.8,0.0,13.3,50.4,Enthalpy Test Room,3.4662,3.6432,True,59.973,59.93,0.0,0.0,3.41113238153,3.58964327899,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.4662,AAC0851
250,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,MWA09I,MEC,0.5,Non Ducted,Single Split System,Air,China,0.73,2.1,2.6,0.0,0.78,2.8,Calorimeter Room,3.5883,3.6416,True,1.0,1.0,3.8687150838,3.92957746479,3.57227848436,3.62594935101,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.5883,AAC0958
251,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,MWA12I,MEC,0.7,Non Ducted,Single Split System,Air,China,0.98,2.8,3.5,0.0,1.07,3.85,Calorimeter Room,3.5818,3.6044,True,1.0,1.0,3.78846153846,4.29137529138,3.56909867632,3.59284268664,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.5818,AAC0973
252,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,MWA18I,MEC,1.456,Non Ducted,Single Split System,Air,China,1.59,3.744,5.2,0.0,1.79,5.85,Calorimeter Room,3.1299,3.1657,True,5.0,5.0,3.60728744939,4.32028985507,3.09808396901,3.13648508643,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.1299,AAC0957
253,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,MWA24I,MEC,1.764,Non Ducted,Single Split System,Air,China,1.93,4.536,6.3,0.0,1.93,6.3,Calorimeter Room,3.2103,3.0979,True,5.0,5.0,3.48214285714,3.62386363636,3.18226499043,3.07193425417,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.2103,AAC0972
